longitude_metair,latitude_metair
60.6054546,56.8237058
60.6029211,56.8284125
60.6162452,56.8268075
60.6047485,56.8291477
60.6131032,56.8277037
60.6050959,56.8244288
60.6157004,56.8253766
60.6114219,56.8251189
60.6077036,56.8289863
60.6049750,56.8256240
60.6132244,56.8268536
60.6062911,56.8307522
60.6137094,56.8270515
60.6122305,56.8253832
60.6073391,56.8245955
60.6128587,56.8266884
60.6105218,56.8286912
60.6120052,56.8278779
60.6161289,56.8281609
60.6091683,56.8249783
60.6135529,56.8317614
60.6160720,56.8334289
60.6171471,56.8352938
60.6170982,56.8302848
60.6176963,56.8358841
60.6136034,56.8335404
60.6204802,56.8351205
60.6255338,56.8323456
60.6182204,56.8365514
60.6211693,56.8314500
60.6133296,56.8319481
60.6138121,56.8316862
60.6207513,56.8357919
60.6261931,56.8325042
60.6135781,56.8354308
60.6186202,56.8353408
60.6187520,56.8365548
60.6232641,56.8368809
60.6150667,56.8340780
60.6220007,56.8383549
60.5910829,56.8327736
60.5843064,56.8373858
60.5829287,56.8304036
60.5864058,56.8293770
60.5808993,56.8305300
60.5859346,56.8362898
60.5921434,56.8345757
60.5844863,56.8338895
60.5819033,56.8357124
60.5780186,56.8346749
60.5863070,56.8362726
60.5886693,56.8312734
60.5857365,56.8320886
60.5835862,56.8366843
60.5881210,56.8301735
60.5868350,56.8298951
60.5815275,56.8372697
60.5868089,56.8293925
60.5857138,56.8292524
60.5843623,56.8331594
60.5680687,56.8335479
60.5741180,56.8270907
60.5734891,56.8283332
60.5777068,56.8275965
60.5702108,56.8266690
60.5673416,56.8320250
60.5760102,56.8282129
60.5733874,56.8313422
60.5654358,56.8294021
60.5794965,56.8312687
60.5725743,56.8284594
60.5694139,56.8265248
60.5787144,56.8316554
60.5655322,56.8300956
60.5733336,56.8303552
60.5704397,56.8309754
60.5691265,56.8333734
60.5773936,56.8274700
60.5674603,56.8290231
60.5748043,56.8271866
60.5707983,56.8137000
60.5617074,56.8117000
60.5717502,56.8115432
60.5625301,56.8159049
60.5697905,56.8103498
60.5698272,56.8103147
60.5668777,56.8164499
60.5649519,56.8117441
60.5646998,56.8137216
60.5634705,56.8172261
60.5679495,56.8158617
60.5640491,56.8163788
60.5727545,56.8167016
60.5749639,56.8156395
60.5736974,56.8125027
60.5756745,56.8132855
60.5647430,56.8172650
60.5719746,56.8120194
60.5619853,56.8113837
